S.N.,page_number,x0,y0,x1,y1,width,height
232,21,380.1550598144531,494.3460693359375,400.3611145019531,514.5521240234375,107,107
233,21,404.46624755859375,494.46612548828125,424.67230224609375,514.6721801757812,107,107
234,21,428.4511413574219,494.3460693359375,448.6571960449219,514.5521240234375,107,107
235,21,452.7134094238281,494.46612548828125,472.9194641113281,514.6721801757812,107,107
236,21,476.74725341796875,494.3460693359375,496.95330810546875,514.5521240234375,107,107
237,21,114.98335266113281,526.3017578125,135.18939208984375,546.5078125,107,107
238,21,139.3271942138672,526.3258666992188,159.53323364257812,546.5319213867188,107,107
239,21,163.23049926757812,526.3017578125,183.43653869628906,546.5078125,107,107
240,21,187.623291015625,526.3258666992188,207.82933044433594,546.5319213867188,107,107
241,21,211.4776611328125,526.3017578125,231.68370056152344,546.5078125,107,107
242,21,235.91940307617188,526.3258666992188,256.1254577636719,546.5319213867188,107,107
243,21,259.72479248046875,526.3017578125,279.93084716796875,546.5078125,107,107
244,21,283.5628662109375,526.3258666992188,303.7689208984375,546.5319213867188,107,107
245,21,307.9719543457031,526.3017578125,328.1780090332031,546.5078125,107,107
246,21,331.85894775390625,526.3258666992188,352.06500244140625,546.5319213867188,107,107
247,21,356.2191162109375,526.3017578125,376.4251708984375,546.5078125,107,107
248,21,380.1550598144531,526.3258666992188,400.3611145019531,546.5319213867188,107,107
249,21,404.46624755859375,526.3017578125,424.67230224609375,546.5078125,107,107
250,21,428.4511413574219,526.3258666992188,448.6571960449219,546.5319213867188,107,107
251,21,452.7134094238281,526.3017578125,472.9194641113281,546.5078125,107,107
252,21,476.74725341796875,526.3258666992188,496.95330810546875,546.5319213867188,107,107
253,21,114.98335266113281,558.1373291015625,135.18939208984375,578.3433837890625,107,107
254,21,139.3271942138672,558.3057250976562,159.53323364257812,578.5117797851562,107,107
255,21,163.23049926757812,558.1373291015625,183.43653869628906,578.3433837890625,107,107
256,21,187.623291015625,558.3057250976562,207.82933044433594,578.5117797851562,107,107
257,21,211.4776611328125,558.1373291015625,231.68370056152344,578.3433837890625,107,107
258,21,235.91940307617188,558.3057250976562,256.1254577636719,578.5117797851562,107,107
259,21,259.72479248046875,558.1373291015625,279.93084716796875,578.3433837890625,107,107
260,21,283.5628662109375,558.3057250976562,303.7689208984375,578.5117797851562,107,107
261,21,307.9719543457031,558.1373291015625,328.1780090332031,578.3433837890625,107,107
262,21,331.85894775390625,558.3057250976562,352.06500244140625,578.5117797851562,107,107
263,21,356.2191162109375,558.1373291015625,376.4251708984375,578.3433837890625,107,107
264,21,380.1550598144531,558.3057250976562,400.3611145019531,578.5117797851562,107,107
265,21,404.46624755859375,558.1373291015625,424.67230224609375,578.3433837890625,107,107
266,21,428.4511413574219,558.3057250976562,448.6571960449219,578.5117797851562,107,107
267,21,452.7134094238281,558.1373291015625,472.9194641113281,578.3433837890625,107,107
268,21,476.74725341796875,558.3057250976562,496.95330810546875,578.5117797851562,107,107
269,21,114.98335266113281,589.972900390625,135.18939208984375,610.178955078125,107,107
270,21,139.3271942138672,590.2855834960938,159.53323364257812,610.4916381835938,107,107
271,21,163.23049926757812,589.972900390625,183.43653869628906,610.178955078125,107,107
272,21,187.623291015625,590.2855834960938,207.82933044433594,610.4916381835938,107,107
273,21,211.4776611328125,589.972900390625,231.68370056152344,610.178955078125,107,107
274,21,235.91940307617188,590.2855834960938,256.1254577636719,610.4916381835938,107,107
275,21,259.72479248046875,589.972900390625,279.93084716796875,610.178955078125,107,107
276,21,283.5628662109375,590.2855834960938,303.7689208984375,610.4916381835938,107,107
277,21,307.9719543457031,589.972900390625,328.1780090332031,610.178955078125,107,107
278,21,331.85894775390625,590.2855834960938,352.06500244140625,610.4916381835938,107,107
279,21,356.2191162109375,589.972900390625,376.4251708984375,610.178955078125,107,107
280,21,380.1550598144531,590.2855834960938,400.3611145019531,610.4916381835938,107,107
281,21,404.46624755859375,589.972900390625,424.67230224609375,610.178955078125,107,107
282,21,428.4511413574219,590.2855834960938,448.6571960449219,610.4916381835938,107,107
283,21,452.7134094238281,589.972900390625,472.9194641113281,610.178955078125,107,107
284,21,476.74725341796875,590.2855834960938,496.95330810546875,610.4916381835938,107,107
285,21,114.98335266113281,621.80859375,135.18939208984375,642.0146484375,107,107
286,21,139.3271942138672,621.61279296875,159.53323364257812,641.81884765625,107,107
287,21,163.23049926757812,621.80859375,183.43653869628906,642.0146484375,107,107
288,21,187.623291015625,621.61279296875,207.82933044433594,641.81884765625,107,107
289,21,211.4776611328125,621.80859375,231.68370056152344,642.0146484375,107,107
290,21,235.91940307617188,621.61279296875,256.1254577636719,641.81884765625,107,107
291,21,259.72479248046875,621.80859375,279.93084716796875,642.0146484375,107,107
292,21,283.5628662109375,621.61279296875,303.7689208984375,641.81884765625,107,107
293,21,307.9719543457031,621.80859375,328.1780090332031,642.0146484375,107,107
294,21,331.85894775390625,621.61279296875,352.06500244140625,641.81884765625,107,107
295,21,356.2191162109375,621.80859375,376.4251708984375,642.0146484375,107,107
296,21,380.1550598144531,621.61279296875,400.3611145019531,641.81884765625,107,107
297,21,404.46624755859375,621.80859375,424.67230224609375,642.0146484375,107,107
298,21,428.4511413574219,621.61279296875,448.6571960449219,641.81884765625,107,107
299,21,452.7134094238281,621.80859375,472.9194641113281,642.0146484375,107,107
300,21,476.74725341796875,621.61279296875,496.95330810546875,641.81884765625,107,107
